Year,Month,Country,Branch,Product,SalesQuantity,Revenue,EmployeeCount,ProductPrice
2020,1,Egypt,Cairo,Televisions,146,199225.76,26,1364.56
2020,1,Egypt,Cairo,Smartphones,200,112808.0,22,564.04
2020,1,Egypt,Cairo,Laptops,65,82113.2,7,1263.28
2020,1,Egypt,Cairo,Tablets,88,129272.88,23,1469.01
2020,1,Egypt,Cairo,Headphones,193,40122.77,48,207.89
2020,1,Egypt,Giza,Televisions,194,121315.96,31,625.34
2020,1,Egypt,Giza,Smartphones,16,3547.04,30,221.69
2020,1,Egypt,Giza,Laptops,135,142198.2,48,1053.32
2020,1,Egypt,Giza,Tablets,26,24776.7,7,952.95
2020,1,Egypt,Giza,Headphones,115,129247.35,30,1123.89
2020,1,Egypt,Alexandria,Televisions,119,78968.4,46,663.6
2020,1,Egypt,Alexandria,Smartphones,75,44623.5,24,594.98
2020,1,Egypt,Alexandria,Laptops,194,278702.34,25,1436.61
2020,1,Egypt,Alexandria,Tablets,180,213841.8,11,1188.01
2020,1,Egypt,Alexandria,Headphones,24,22538.16,31,939.09
2020,1,Egypt,Faiyum,Televisions,39,6108.18,21,156.62
2020,1,Egypt,Faiyum,Smartphones,55,16061.65,24,292.03
2020,1,Egypt,Faiyum,Laptops,41,24729.15,20,603.15
2020,1,Egypt,Faiyum,Tablets,85,118575.85,22,1395.01
2020,1,Egypt,Faiyum,Headphones,86,82307.16,18,957.06
2020,1,Turkey,Istanbul,Televisions,164,108827.12,20,663.58
2020,1,Turkey,Istanbul,Smartphones,172,146378.88,46,851.04
2020,1,Turkey,Istanbul,Laptops,144,210972.96,45,1465.09
2020,1,Turkey,Istanbul,Tablets,133,168275.59,8,1265.23
2020,1,Turkey,Istanbul,Headphones,37,31614.65,23,854.45
2020,1,Turkey,Bursa,Televisions,71,8884.94,12,125.14
2020,1,Turkey,Bursa,Smartphones,115,147517.4,43,1282.76
2020,1,Turkey,Bursa,Laptops,180,231602.4,13,1286.68
2020,1,Turkey,Bursa,Tablets,184,102427.28,14,556.67
2020,1,Turkey,Bursa,Headphones,162,151635.24,22,936.02
2020,1,Turkey,Ankara,Televisions,179,134905.14,30,753.66
2020,1,Turkey,Ankara,Smartphones,33,37494.93,9,1136.21
2020,1,Turkey,Ankara,Laptops,86,44325.26,34,515.41
2020,1,Turkey,Ankara,Tablets,29,14868.3,50,512.7
2020,1,Turkey,Ankara,Headphones,165,112282.5,32,680.5
2020,1,Turkey,Antalya,Televisions,131,150972.26,25,1152.46
2020,1,Turkey,Antalya,Smartphones,13,17010.76,31,1308.52
2020,1,Turkey,Antalya,Laptops,132,15793.8,35,119.65
2020,1,Turkey,Antalya,Tablets,114,133364.04,20,1169.86
2020,1,Turkey,Antalya,Headphones,186,123952.26,11,666.41
2020,1,Oman,Muscat,Televisions,191,238283.96,18,1247.56
2020,1,Oman,Muscat,Smartphones,162,145939.32,28,900.86
2020,1,Oman,Muscat,Laptops,67,67714.89,18,1010.67
2020,1,Oman,Muscat,Tablets,160,170558.4,35,1065.99
2020,1,Oman,Muscat,Headphones,186,45486.3,5,244.55
2020,1,Oman,Sohar,Televisions,39,42958.89,43,1101.51
2020,1,Oman,Sohar,Smartphones,119,9481.92,40,79.68
2020,1,Oman,Sohar,Laptops,130,156989.3,45,1207.61
2020,1,Oman,Sohar,Tablets,113,124092.08,40,1098.16
2020,1,Oman,Sohar,Headphones,129,56672.28,34,439.32
2020,1,USA,Austin,Televisions,85,61211.05,22,720.13
2020,1,USA,Austin,Smartphones,191,176184.13,45,922.43
2020,1,USA,Austin,Laptops,88,100567.28,36,1142.81
2020,1,USA,Austin,Tablets,76,96305.68,39,1267.18
2020,1,USA,Austin,Headphones,147,82073.04,48,558.32
2020,1,USA,New York,Televisions,120,11416.8,6,95.14
2020,1,USA,New York,Smartphones,194,170935.34,21,881.11
2020,1,USA,New York,Laptops,140,81214.0,36,580.1
2020,1,USA,New York,Tablets,20,7688.4,31,384.42
2020,1,USA,New York,Headphones,54,47449.26,10,878.69
2020,1,USA,Chicago,Televisions,38,24500.88,12,644.76
2020,1,USA,Chicago,Smartphones,82,102849.32,22,1254.26
2020,1,USA,Chicago,Laptops,27,17781.12,50,658.56
2020,1,USA,Chicago,Tablets,25,19609.0,9,784.36
2020,1,USA,Chicago,Headphones,15,16582.8,22,1105.52
2020,2,Egypt,Cairo,Televisions,17,14291.73,31,840.69
2020,2,Egypt,Cairo,Smartphones,119,37357.67,5,313.93
2020,2,Egypt,Cairo,Laptops,87,88263.24,35,1014.52
2020,2,Egypt,Cairo,Tablets,125,59833.75,49,478.67
2020,2,Egypt,Cairo,Headphones,174,118788.06,12,682.69
2020,2,Egypt,Giza,Televisions,55,76305.35,11,1387.37
2020,2,Egypt,Giza,Smartphones,174,78447.9,25,450.85
2020,2,Egypt,Giza,Laptops,99,139929.57,8,1413.43
2020,2,Egypt,Giza,Tablets,190,119793.1,40,630.49
2020,2,Egypt,Giza,Headphones,56,26602.8,20,475.05
2020,2,Egypt,Alexandria,Televisions,48,40972.8,33,853.6
2020,2,Egypt,Alexandria,Smartphones,162,95560.56,21,589.88
2020,2,Egypt,Alexandria,Laptops,177,175713.21,12,992.73
2020,2,Egypt,Alexandria,Tablets,154,32566.38,26,211.47
2020,2,Egypt,Alexandria,Headphones,47,26930.06,37,572.98
2020,2,Egypt,Faiyum,Televisions,187,227248.01,49,1215.23
2020,2,Egypt,Faiyum,Smartphones,188,13840.56,10,73.62
2020,2,Egypt,Faiyum,Laptops,174,232545.78,29,1336.47
2020,2,Egypt,Faiyum,Tablets,90,119833.2,27,1331.48
2020,2,Egypt,Faiyum,Headphones,27,31542.75,35,1168.25
2020,2,Turkey,Istanbul,Televisions,52,22741.16,34,437.33
